taxonomy [%],taxa [%],GSP T0,So-Sp T0,Sp T0,So T0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus obscurus,Geodermatophilus obscurus,0.032807801,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus ruber,Geodermatophilus ruber,0.17558249,0.075169131,0.015539613,0.029979614
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus sabuli,Geodermatophilus sabuli,0.592970625,0.425958406,0.072518194,0.17388176
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus sp.,Geodermatophilus sp.,0.719341414,0.808068153,0.32892181,0.959347644
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus tzadiensis,Geodermatophilus tzadiensis,0,0,0.007769807,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter;Modestobacter lapidis,Modestobacter lapidis,0,0.413430218,0,0.473677899
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter;Modestobacter multiseptatus,Modestobacter multiseptatus,0.013366141,0.187922826,0.132086711,0.677539273
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter;Modestobacter sp.,Modestobacter sp.,0.025517179,0.244299674,0,0.041971459
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter;Modestobacter versicolor,Modestobacter versicolor,1.116680337,0.764219494,0.059568517,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;Nakamurella endophytica,Nakamurella endophytica,0.002430207,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;Nakamurella multipartita,Nakamurella multipartita,0.029770042,0,0.056978581,0.071951073
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;Nakamurella silvestris,Nakamurella silvestris,0.100246059,0.187922826,0.059568517,0.275812448
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;Nakamurella sp.,Nakamurella sp.,0.069260913,0.075169131,0.163165937,0.17388176
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Sporichthya;Sporichthya polymorpha,Sporichthya polymorpha,0.007290622,0,0.012949678,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Sporichthya;Sporichthya sp.,Sporichthya sp.,0.003037759,0,0.007769807,0.029979614
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter;Angustibacter peucedani,Angustibacter peucedani,0.027339834,0.025056377,0.046618839,0
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter;Angustibacter sp.,Angustibacter sp.,0.015796349,0.043848659,0.069928259,0.161889915
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus;Kineococcus radiotolerans,Kineococcus radiotolerans,0.0164039,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus;Kineococcus sp.,Kineococcus sp.,0.113004648,0,0,0.059959228
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus;Kineococcus xinjiangensis,Kineococcus xinjiangensis,0.001822656,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia;Kineosporia rhamnosa,Kineosporia rhamnosa,0.003645311,0.037584565,0.018129549,0.029979614
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia;Kineosporia sp.,Kineosporia sp.,0.010935934,0.075169131,0.025899355,0
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Quadrisphaera;Angustibacter speluncae,Angustibacter speluncae,0.015188797,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Quadrisphaera;Quadrisphaera granulorum,Quadrisphaera granulorum,0.02612473,0.050112754,0,0
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Quadrisphaera;Quadrisphaera sp.,Quadrisphaera sp.,0.140952034,0,0,0.047967382
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Bogoriellaceae;Georgenia;Georgenia satyanarayanai,Georgenia satyanarayanai,0.012758589,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Bogoriellaceae;Georgenia;Georgenia soli,Georgenia soli,0.006683071,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium sp.,Brevibacterium sp.,0.002430207,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Actinotalea;Actinotalea sp.,Actinotalea sp.,0.075943984,0.062640942,0,0.035975537
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas cellasea,Cellulomonas cellasea,0.04556639,0.056376848,0.007769807,0.029979614
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas gelida,Cellulomonas gelida,0.026732282,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas hominis,Cellulomonas hominis,0.029770042,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas sp.,Cellulomonas sp.,1.068683739,0.51991982,0.194245163,0.311787984
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Oerskovia;Oerskovia sp.,Oerskovia sp.,0.004860415,0.043848659,0.191655228,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Pseudactinotalea;Actinotalea caeni,Actinotalea caeni,0.012151037,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Pseudactinotalea;Pseudactinotalea sp.,Pseudactinotalea sp.,0.003037759,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Demequinaceae;Demequina;Demequina sp.,Demequina sp.,0.078981743,0.031320471,0.041438968,0.059959228
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Intrasporangium;Intrasporangium sp.,Intrasporangium sp.,0.071083569,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Janibacter;Janibacter melonis,Janibacter melonis,0,0.093961413,0,0.071951073
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Lapillicoccus;Lapillicoccus sp.,Lapillicoccus sp.,0.057717428,0.093961413,0.119137033,0.125914378
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Ornithinimicrobium;Ornithinimicrobium sp.,Ornithinimicrobium sp.,0,0,0,0.017987768
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Oryzihumus;Oryzihumus sp.,Oryzihumus sp.,0.004860415,0,0.044028904,0.053963305
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Pedococcus-Phycicoccus;Pedococcus aerophilus,Pedococcus aerophilus,0.013973693,0,0.132086711,0.101930687
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Pedococcus-Phycicoccus;Pedococcus dokdonensis,Pedococcus dokdonensis,0.063185394,0.050112754,0.059568517,0.059959228
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Terrabacter;Terrabacter sp.,Terrabacter sp.,0.04860415,0.025056377,0,0.023983691
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera;Phycicoccus elongatus,Phycicoccus elongatus,0,0,0.271943229,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agrococcus;Agrococcus sp.,Agrococcus sp.,0.037668216,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces aureus,Agromyces aureus,0.052857013,0.081433225,0.137266582,0.095934764
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces flavus,Agromyces flavus,0.012758589,0.018792283,0.015539613,0.041971459
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces fucosus,Agromyces fucosus,0,0,0.028489291,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces iriomotensis,Agromyces iriomotensis,0.075943984,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces lapidis,Agromyces lapidis,0.0164039,0.031320471,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces ramosus,Agromyces ramosus,0.017011452,0.037584565,0.02330942,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces sp.,Agromyces sp.,0.027339834,0.16286645,0.142446453,0.43170644
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Amnibacterium;Amnibacterium sp.,Amnibacterium sp.,0.009113278,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Cryocola;Cryocola antiquus,Cryocola antiquus,0.002430207,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Curtobacterium;Curtobacterium flaccumfaciens,Curtobacterium flaccumfaciens,0.027339834,0.031320471,0,0.059959228
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Galbitalea;Galbitalea sp.,Galbitalea sp.,0.087487469,0,0.212374712,0.023983691
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Homoserinibacter;Homoserinibacter gongjuensis,Homoserinibacter gongjuensis,0.018226556,0.031320471,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Labedella;Labedella gwakjiensis,Labedella gwakjiensis,0.003037759,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Leifsonia;Leifsonia sp.,Leifsonia sp.,0.002430207,0,0.020719484,0.029979614
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Leucobacter;Leucobacter tardus,Leucobacter tardus,0.003645311,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Lysinimonas;Lysinimonas soli,Lysinimonas soli,0.065615602,0.062640942,0.362590971,0.113922533
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Lysinimonas;Lysinimonas sp.,Lysinimonas sp.,0.003645311,0.037584565,0.292662713,0.035975537
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium aoyamense,Microbacterium aoyamense,0.004252863,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium barkeri,Microbacterium barkeri,0.201099669,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium esteraromaticum,Microbacterium esteraromaticum,0.023086971,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium flavescens,Microbacterium flavescens,0.032807801,0,0.067338323,0.023983691
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium ginsengisoli,Microbacterium ginsengisoli,0.002430207,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium humi,Microbacterium humi,0.001822656,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium oxydans,Microbacterium oxydans,0.025517179,0.025056377,0.025899355,0.029979614
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium paraoxydans,Microbacterium paraoxydans,0.61423494,0.35705337,0.401440004,0.257824679
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium pseudoresistens,Microbacterium pseudoresistens,0.002430207,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium pumilum,Microbacterium pumilum,0,0,0,0.077946996
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium sp.,Microbacterium sp.,0.327470458,0,0.108777291,0.06595515
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium suwonense,Microbacterium suwonense,0.002430207,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium thalassium,Microbacterium thalassium,0.006075519,0.056376848,0.072518194,0.023983691
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Pseudoclavibacter;Pseudoclavibacter sp.,Pseudoclavibacter sp.,0,0,0.018129549,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Rathayibacter;Rathayibacter agropyri,Rathayibacter agropyri,0.002430207,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Salinibacterium;Salinibacterium amurskyense,Salinibacterium amurskyense,0.014581245,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Subtercola;Subtercola boreus,Subtercola boreus,0.136091619,0.112753696,0.018129549,0.071951073
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Yonghaparkia;Yonghaparkia alkaliphila,Yonghaparkia alkaliphila,0.312281661,0.206715109,0.116547098,0.17388176
