taxonomy [copies/gr],taxa [copies/gr],DTN00I,DTN00J,DTN00K,DTN00L
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;Kaistibacter ginsenosidimutans,Kaistibacter ginsenosidimutans,36325,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Antricoccus;Antricoccus sp.,Antricoccus sp.,290596,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;Blastococcus aggregatus,Blastococcus aggregatus,16890911,28567586,1533021,1538183
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;Blastococcus endophyticus,Blastococcus endophyticus,4346836,4369159,170334,301603
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;Blastococcus jejuensis,Blastococcus jejuensis,6017764,0,885745,241283
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;Blastococcus saxobsidens,Blastococcus saxobsidens,2385311,1680445,0,301603
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;Blastococcus sp.,Blastococcus sp.,84236600,198964838,18259986,13843647
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus daqingensis,Geodermatophilus daqingensis,363246,0,511007,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus nigrescens,Geodermatophilus nigrescens,133189,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus obscurus,Geodermatophilus obscurus,653843,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus ruber,Geodermatophilus ruber,3499264,4033072,204403,150803
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus sabuli,Geodermatophilus sabuli,11817582,22854069,953879,874653
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus sp.,Geodermatophilus sp.,14336082,43355514,4326528,4825673
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus tzadiensis,Geodermatophilus tzadiensis,0,0,102200,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter;Modestobacter lapidis,Modestobacter lapidis,0,22181890,0,2382677
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter;Modestobacter multiseptatus,Modestobacter multiseptatus,266379,10082676,1737424,3408130
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter;Modestobacter sp.,Modestobacter sp.,508543,13107479,0,211123
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter;Modestobacter versicolor,Modestobacter versicolor,22254832,41002890,783545,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;Nakamurella endophytica,Nakamurella endophytica,48432,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;Nakamurella multipartita,Nakamurella multipartita,593300,0,749476,361927
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;Nakamurella silvestris,Nakamurella silvestris,1997850,10082676,783545,1387380
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;Nakamurella sp.,Nakamurella sp.,1380332,4033072,2146231,874653
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Sporichthya;Sporichthya polymorpha,Sporichthya polymorpha,145296,0,170334,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Sporichthya;Sporichthya sp.,Sporichthya sp.,60539,0,102200,150803
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter;Angustibacter peucedani,Angustibacter peucedani,544868,1344359,613207,0
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter;Angustibacter sp.,Angustibacter sp.,314814,2352624,919814,814333
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus;Kineococcus radiotolerans,Kineococcus radiotolerans,326921,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus;Kineococcus sp.,Kineococcus sp.,2252121,0,0,301603
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus;Kineococcus xinjiangensis,Kineococcus xinjiangensis,36325,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia;Kineosporia rhamnosa,Kineosporia rhamnosa,72650,2016534,238469,150803
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia;Kineosporia sp.,Kineosporia sp.,217946,4033072,340672,0
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Quadrisphaera;Angustibacter speluncae,Angustibacter speluncae,302704,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Quadrisphaera;Quadrisphaera granulorum,Quadrisphaera granulorum,520650,2688714,0,0
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Quadrisphaera;Quadrisphaera sp.,Quadrisphaera sp.,2809096,0,0,241283
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Bogoriellaceae;Georgenia;Georgenia satyanarayanai,Georgenia satyanarayanai,254271,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Bogoriellaceae;Georgenia;Georgenia soli,Georgenia soli,133189,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium sp.,Brevibacterium sp.,48432,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Actinotalea;Actinotalea sp.,Actinotalea sp.,1513521,3360893,0,180963
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas cellasea,Cellulomonas cellasea,908114,3024803,102200,150803
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas gelida,Cellulomonas gelida,532761,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas hominis,Cellulomonas hominis,593300,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas sp.,Cellulomonas sp.,21298286,27895407,2555034,1568343
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Oerskovia;Oerskovia sp.,Oerskovia sp.,96864,2352624,2520969,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Pseudactinotalea;Actinotalea caeni,Actinotalea caeni,242164,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Pseudactinotalea;Pseudactinotalea sp.,Pseudactinotalea sp.,60539,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Demequinaceae;Demequina;Demequina sp.,Demequina sp.,1574064,1680445,545076,301603
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Intrasporangium;Intrasporangium sp.,Intrasporangium sp.,1416657,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Janibacter;Janibacter melonis,Janibacter melonis,0,5041338,0,361927
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Lapillicoccus;Lapillicoccus sp.,Lapillicoccus sp.,1150279,5041338,1567090,633370
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Ornithinimicrobium;Ornithinimicrobium sp.,Ornithinimicrobium sp.,0,0,0,90480
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Oryzihumus;Oryzihumus sp.,Oryzihumus sp.,96864,0,579141,271443
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Pedococcus-Phycicoccus;Pedococcus aerophilus,Pedococcus aerophilus,278489,0,1737424,512727
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Pedococcus-Phycicoccus;Pedococcus dokdonensis,Pedococcus dokdonensis,1259250,2688714,783545,301603
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Terrabacter;Terrabacter sp.,Terrabacter sp.,968654,1344359,0,120643
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera;Phycicoccus elongatus,Phycicoccus elongatus,0,0,3577048,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agrococcus;Agrococcus sp.,Agrococcus sp.,750707,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces aureus,Agromyces aureus,1053411,4369159,1805559,482567
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces flavus,Agromyces flavus,254271,1008269,204403,211123
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces fucosus,Agromyces fucosus,0,0,374738,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces iriomotensis,Agromyces iriomotensis,1513521,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces lapidis,Agromyces lapidis,326921,1680445,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces ramosus,Agromyces ramosus,339029,2016534,306603,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces sp.,Agromyces sp.,544868,8738321,1873693,2171553
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Amnibacterium;Amnibacterium sp.,Amnibacterium sp.,181621,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Cryocola;Cryocola antiquus,Cryocola antiquus,48432,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Curtobacterium;Curtobacterium flaccumfaciens,Curtobacterium flaccumfaciens,544868,1680445,0,301603
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Galbitalea;Galbitalea sp.,Galbitalea sp.,1743579,0,2793507,120643
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Homoserinibacter;Homoserinibacter gongjuensis,Homoserinibacter gongjuensis,363246,1680445,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Labedella;Labedella gwakjiensis,Labedella gwakjiensis,60539,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Leifsonia;Leifsonia sp.,Leifsonia sp.,48432,0,272538,150803
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Leucobacter;Leucobacter tardus,Leucobacter tardus,72650,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Lysinimonas;Lysinimonas soli,Lysinimonas soli,1307682,3360893,4769400,573050
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Lysinimonas;Lysinimonas sp.,Lysinimonas sp.,72650,2016534,3849586,180963
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium aoyamense,Microbacterium aoyamense,84757,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium barkeri,Microbacterium barkeri,4007807,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium esteraromaticum,Microbacterium esteraromaticum,460111,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium flavescens,Microbacterium flavescens,653843,0,885745,120643
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium ginsengisoli,Microbacterium ginsengisoli,48432,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium humi,Microbacterium humi,36325,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium oxydans,Microbacterium oxydans,508543,1344359,340672,150803
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium paraoxydans,Microbacterium paraoxydans,12241368,19157086,5280407,1296900
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium pseudoresistens,Microbacterium pseudoresistens,48432,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium pumilum,Microbacterium pumilum,0,0,0,392087
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium sp.,Microbacterium sp.,6526307,0,1430821,331763
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium suwonense,Microbacterium suwonense,48432,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium thalassium,Microbacterium thalassium,121082,3024803,953879,120643
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Pseudoclavibacter;Pseudoclavibacter sp.,Pseudoclavibacter sp.,0,0,238469,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Rathayibacter;Rathayibacter agropyri,Rathayibacter agropyri,48432,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Salinibacterium;Salinibacterium amurskyense,Salinibacterium amurskyense,290596,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Subtercola;Subtercola boreus,Subtercola boreus,2712232,6049607,238469,361927
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Yonghaparkia;Yonghaparkia alkaliphila,Yonghaparkia alkaliphila,6223604,11090945,1533021,874653
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter agilis,Arthrobacter agilis,0,2688714,0,633370
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter crystallopoietes,Arthrobacter crystallopoietes,6187279,8402231,272538,1055617
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter deserti,Arthrobacter deserti,1513521,3360893,1703359,1025457
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter ginkgonis,Arthrobacter ginkgonis,1017086,4033072,545076,120643
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter globiformis,Arthrobacter globiformis,0,0,0,150803
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter pigmenti,Arthrobacter pigmenti,278489,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter ramosus,Arthrobacter ramosus,60539,0,545076,301603
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter sp.,Arthrobacter sp.,5158086,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter subterraneus,Arthrobacter subterraneus,14009164,0,0,150803
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Citricoccus;Citricoccus alkalitolerans,Citricoccus alkalitolerans,72650,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Glutamicibacter;Glutamicibacter nicotianae,Glutamicibacter nicotianae,133189,2688714,0,120643
